Year,Local Government Area,Postcode,Total Incidents
2011,Alpine,3691,5
2011,Alpine,3697,4
2011,Alpine,3698,3
2011,Alpine,3699,13
2011,Alpine,3737,153
2011,Alpine,3738,3
2011,Alpine,3740,13
2011,Alpine,3741,76
2011,Alpine,3744,5
2011,Alpine,3898,3
2011,Ararat,3351,34
2011,Ararat,3374,2
2011,Ararat,3375,5
2011,Ararat,3377,727
2011,Ararat,3378,3
2011,Ararat,3379,24
2011,Ararat,3381,4
2011,Ararat,3469,3
2011,Ballarat,3350,5325
2011,Ballarat,3351,2
2011,Ballarat,3352,233
2011,Ballarat,3355,1431
2011,Ballarat,3356,1127
2011,Ballarat,3357,52
2011,Ballarat,3363,3
2011,Ballarat,3364,6
2011,Banyule,3079,568
2011,Banyule,3081,1145
2011,Banyule,3083,295
2011,Banyule,3084,1520
2011,Banyule,3085,367
2011,Banyule,3087,387
2011,Banyule,3088,972
2011,Banyule,3093,105
2011,Banyule,3094,212
2011,Banyule,3095,32
2011,Bass Coast,3922,435
2011,Bass Coast,3923,6
2011,Bass Coast,3925,138
2011,Bass Coast,3945,10
2011,Bass Coast,3979,4
2011,Bass Coast,3984,112
2011,Bass Coast,3990,4
2011,Bass Coast,3991,16
2011,Bass Coast,3992,28
2011,Bass Coast,3995,671
2011,Bass Coast,3996,177
2011,Baw Baw,3816,92
2011,Baw Baw,3818,469
2011,Baw Baw,3820,712
2011,Baw Baw,3821,29
2011,Baw Baw,3822,19
2011,Baw Baw,3823,72
2011,Baw Baw,3824,174
2011,Baw Baw,3825,64
2011,Baw Baw,3831,28
2011,Baw Baw,3832,8
2011,Baw Baw,3833,45
2011,Baw Baw,3835,15
2011,Baw Baw,3871,3
2011,Baw Baw,3953,2
2011,Bayside,3186,806
2011,Bayside,3187,387
2011,Bayside,3188,701
2011,Bayside,3190,255
2011,Bayside,3191,325
2011,Bayside,3192,146
2011,Bayside,3193,384
2011,Benalla,3669,1
2011,Benalla,3670,16
2011,Benalla,3672,690
2011,Benalla,3673,42
2011,Benalla,3675,1
2011,Benalla,3725,6
2011,Benalla,3726,4
2011,Boroondara,3101,788
2011,Boroondara,3102,157
2011,Boroondara,3103,376
2011,Boroondara,3104,453
2011,Boroondara,3122,1204
2011,Boroondara,3123,439
2011,Boroondara,3124,837
2011,Boroondara,3126,218
2011,Boroondara,3127,216
2011,Boroondara,3146,323
2011,Boroondara,3147,254
2011,Brimbank,3012,42
2011,Brimbank,3020,4603
2011,Brimbank,3021,3479
2011,Brimbank,3022,385
2011,Brimbank,3023,1851
2011,Brimbank,3030,533
2011,Brimbank,3033,55
2011,Brimbank,3036,257
2011,Brimbank,3037,1025
2011,Brimbank,3038,1740
2011,Brimbank,3042,178
2011,Brimbank,3043,148
2011,Buloke,3480,99
2011,Buloke,3482,8
2011,Buloke,3483,21
2011,Buloke,3525,49
2011,Buloke,3527,24
2011,Buloke,3529,1
2011,Buloke,3530,1
2011,Buloke,3531,1
2011,Buloke,3533,17
2011,Campaspe,3551,4
2011,Campaspe,3559,20
2011,Campaspe,3561,141
2011,Campaspe,3562,6
2011,Campaspe,3563,13
2011,Campaspe,3564,1169
2011,Campaspe,3565,3
2011,Campaspe,3566,10
2011,Campaspe,3612,78
2011,Campaspe,3620,321
2011,Campaspe,3621,80
2011,Campaspe,3622,8
2011,Campaspe,3623,33
2011,Campaspe,3624,9
2011,Cardinia,3159,1
2011,Cardinia,3781,134
2011,Cardinia,3782,233
2011,Cardinia,3783,88
2011,Cardinia,3807,219
2011,Cardinia,3808,61
2011,Cardinia,3809,169
2011,Cardinia,3810,1965
2011,Cardinia,3812,56
2011,Cardinia,3813,29
2011,Cardinia,3814,46
2011,Cardinia,3815,91
2011,Cardinia,3816,2
2011,Cardinia,3978,12
2011,Cardinia,3981,170
2011,Cardinia,3984,68
2011,Cardinia,3987,2
2011,Casey,3156,21
2011,Casey,3177,690
2011,Casey,3802,890
2011,Casey,3803,637
2011,Casey,3804,188
2011,Casey,3805,2631
2011,Casey,3806,1296
2011,Casey,3807,19
2011,Casey,3912,108
2011,Casey,3975,407
2011,Casey,3976,795
2011,Casey,3977,3061
2011,Casey,3978,64
2011,Casey,3980,137
2011,Central Goldfields,3364,2
2011,Central Goldfields,3371,15
2011,Central Goldfields,3464,26
2011,Central Goldfields,3465,537
2011,Central Goldfields,3472,82
2011,Central Goldfields,3475,15
2011,Colac-Otway,3233,152
2011,Colac-Otway,3234,12
2011,Colac-Otway,3236,4
2011,Colac-Otway,3237,6
2011,Colac-Otway,3238,13
2011,Colac-Otway,3239,21
2011,Colac-Otway,3242,22
2011,Colac-Otway,3243,10
2011,Colac-Otway,3249,48
2011,Colac-Otway,3250,778
2011,Colac-Otway,3251,12
2011,Colac-Otway,3254,2
2011,Colac-Otway,3260,7
2011,Colac-Otway,3266,1
2011,Colac-Otway,3322,2
2011,Corangamite,3239,1
2011,Corangamite,3249,1
2011,Corangamite,3260,167
2011,Corangamite,3264,111
2011,Corangamite,3265,22
2011,Corangamite,3266,95
2011,Corangamite,3267,1
2011,Corangamite,3268,43
2011,Corangamite,3269,32
2011,Corangamite,3271,3
2011,Corangamite,3323,6
2011,Corangamite,3324,21
2011,Corangamite,3325,13
2011,Corangamite,3361,6
2011,Darebin,3070,1411
2011,Darebin,3071,890
2011,Darebin,3072,3593
2011,Darebin,3073,2840
2011,Darebin,3078,366
2011,Darebin,3083,315
2011,Darebin,3085,52
2011,Darebin,3086,116
