POA_CODE16,Total Households,Population
3000,5804,49192
3002,1107,6196
3003,1087,5588
3004,2223,10861
3005,99,879
3006,3965,22958
3008,2452,11612
3010,11,1914
3011,4832,21598
3012,6479,26007
3013,3952,14733
3015,4719,17260
3016,4119,15422
3018,3438,12450
3019,2177,9338
3020,11258,44528
3021,14062,54393
3022,733,3102
3023,16430,63580
3024,6298,23676
3025,3146,12074
3026,7,91
3027,1836,6607
3028,7855,28952
3029,24565,93193
3030,26769,99565
3031,4253,18353
3032,7362,29127
3033,4112,14311
3034,3258,11539
3036,1673,5793
3037,13442,50766
3038,7683,27021
3039,3587,14041
3040,6602,25597
3041,3303,12207
3042,4371,15560
3043,4868,17784
3044,7018,26781
3045,0,712
3046,8766,33859
3047,4786,21037
3048,4473,17950
3049,2560,9276
3050,0,712
3051,2698,15395
3052,957,6557
3053,2488,18829
3054,1865,8234
3055,3327,13880
3056,5469,24176
3057,2696,11315
3058,8438,33405
3059,4264,15338
3060,3432,14019
3061,1235,5034
3062,0,0
3063,149,584
3064,19294,75100
3065,2141,11267
3066,1863,8493
3067,1886,8103
3068,4308,18180
3070,5878,24115
3071,4436,18292
3072,8013,32499
3073,12845,50092
3074,5740,20441
3075,6191,22413
3076,8634,32696
3078,2794,11447
3079,4256,15869
3081,3213,13275
3082,8194,29474
3083,7837,31364
3084,6952,25813
3085,3706,13741
3086,7,1198
3087,2539,8886
3088,7581,26329
3089,3277,11475
3090,640,2315
3091,423,1542
3093,1047,3832
3094,2521,8670
3095,7804,27116
3096,515,1904
3097,375,1397
3099,1350,4736
3101,6129,24491
3102,1750,6496
3103,4112,15034
3104,5522,20015
3105,3113,10756
3106,4709,16305
3107,3861,13357
3108,5903,20604
3109,8121,28016
3111,3343,12076
3113,2317,8241
3114,1033,3717
3115,1070,3695
3116,2795,9579
3121,7071,30565
3122,5364,23051
3123,3549,14097
3124,5675,21759
3125,3214,14898
3126,2124,7926
3127,4875,18065
3128,4745,20095
3129,4651,17110
3130,8489,31646
3131,6009,22271
3132,4423,15861
3133,6237,21742
3134,8809,32157
3135,5398,19860
3136,12046,43543
3137,3725,13574
3138,6032,21503
3139,3792,13383
3140,4541,16209
3141,5535,25237
3142,3326,12556
3143,2184,8836
3144,2800,10935
3145,5724,22838
3146,6646,24825
3147,3769,14404
3148,2187,8579
3149,9257,33149
3150,16820,59610
3151,2765,10125
3152,9240,33070
3153,5444,20256
3154,1203,4317
3155,6067,21857
3156,10266,37001
